id,name,created_at
3,ipod,2025-03-17 02:36:04.640617
8,Applying Thermal Paste,2025-03-17 02:54:51.004649
9,soldered connection,2025-03-17 02:55:27.941128
335,acer aspire 5100,2025-03-17 06:11:19.613582
366,front glass,2025-03-17 06:24:21.036058
33,logitech,2025-03-17 04:10:46.691287
17,mac mini a1176 cpu replacement,2025-03-17 03:39:07.763635
171,Nokia 3100b Battery,2025-03-17 05:31:09.587596
24,nintendo ds,2025-03-17 03:51:28.969733
382,formatting_example,2025-03-17 06:34:07.745424
648,Duratec spark plug,2025-03-17 08:41:50.375036
252,ZD7000,2025-03-17 05:57:34.914091
337,dvd drive removal,2025-03-17 06:11:19.613582
28,Sony playstation 2,2025-03-17 03:59:57.078289
359,1400x1050,2025-03-17 06:21:44.416932
114,board,2025-03-17 05:12:27.087677
34,webcam,2025-03-17 04:10:46.691287
86,screen replacement,2025-03-17 04:50:23.21955
41,Dual Band Wireless-N,2025-03-17 04:28:02.171913
42,netgear,2025-03-17 04:28:02.171913
43,router gigabit,2025-03-17 04:28:02.171913
44,Simultaneous dual-band,2025-03-17 04:28:02.171913
45,WNDR3700,2025-03-17 04:28:02.171913
97,Motorola W385 cell phone,2025-03-17 04:55:40.428097
47,Broken faceplate,2025-03-17 04:30:01.31634
98,W385,2025-03-17 04:55:40.428097
100,squier stratocaster,2025-03-17 04:57:10.264897
215,psu,2025-03-17 05:49:17.631826
341,T42,2025-03-17 06:12:34.666863
263,Sony VAIO PCG,2025-03-17 05:59:01.367665
106,discharging a capacitor,2025-03-17 05:06:12.175703
330,nokia,2025-03-17 06:05:46.743276
109,external,2025-03-17 05:08:42.735435
4659,Cab Roof LED,2025-03-18 00:11:22.639718
334,acer aspire,2025-03-17 06:11:19.613582
265,Alexi-200,2025-03-17 06:01:34.176376
115,desperate,2025-03-17 05:12:27.087677
116,final,2025-03-17 05:12:27.087677
117,gpu,2025-03-17 05:12:27.087677
119,oven,2025-03-17 05:12:27.087677
120,pcb,2025-03-17 05:12:27.087677
69,LG VX5200,2025-03-17 04:44:48.108239
121,reflow,2025-03-17 05:12:27.087677
122,solder,2025-03-17 05:12:27.087677
266,Alexi-600,2025-03-17 06:01:34.176376
125,video card,2025-03-17 05:12:27.087677
267,ALX,2025-03-17 06:01:34.176376
189,LG VX5400,2025-03-17 05:37:53.300065
190,Verizon,2025-03-17 05:37:53.300065
129,1150,2025-03-17 05:16:39.437201
268,EMG,2025-03-17 06:01:34.176376
269,ESP Ltd,2025-03-17 06:01:34.176376
270,F-ALX,2025-03-17 06:01:34.176376
108,disassemble,2025-03-17 05:08:42.735435
272,Humbucker,2025-03-17 06:01:34.176376
273,Pickup,2025-03-17 06:01:34.176376
360,HV121P01,2025-03-17 06:21:44.416932
199,antenna replacement,2025-03-17 05:43:47.681479
364,Mothers Day Repair Guide,2025-03-17 06:23:24.659052
276,Candybar,2025-03-17 06:03:48.530756
202,V60i,2025-03-17 05:43:47.681479
277,Nokia 6300,2025-03-17 06:03:48.530756
361,LCD upgrade,2025-03-17 06:21:44.416932
164,TiVo,2025-03-17 05:30:03.258505
102,Dell Latitude D620,2025-03-17 04:58:49.151996
279,ibm t41,2025-03-17 06:04:18.364043
362,"PowerBook 12"" G4",2025-03-17 06:21:44.416932
284,trackpad,2025-03-17 06:04:21.599478
213,output,2025-03-17 05:49:17.631826
369,Honda Odyssey,2025-03-17 06:25:21.566588
545,capacitor,2025-03-17 07:50:45.565488
4660,Cab Roof Lighting,2025-03-18 00:11:22.639718
288,expansion slot,2025-03-17 06:04:29.315667
4661,Car LED,2025-03-18 00:11:22.639718
217,test for bad power supply,2025-03-17 05:49:17.631826
4662,dodge,2025-03-18 00:11:22.639718
417,camera,2025-03-17 07:08:55.045589
304,speakers,2025-03-17 06:04:59.163982
237,LCD,2025-03-17 05:54:23.516233
538,toycontest,2025-03-17 07:42:44.001158
228,Dell Latitude E6400 ouimetnick,2025-03-17 05:50:21.082078
29,MP3,2025-03-17 04:00:30.229426
238,sensor,2025-03-17 05:54:23.516233
324,cleaning,2025-03-17 06:05:36.038734
312,cpu,2025-03-17 06:05:15.658324
323,Apple Mighty Mouse,2025-03-17 06:05:36.038734
5,repairability,2025-03-17 02:39:20.254699
296,wireless network card,2025-03-17 06:04:38.784851
291,bios,2025-03-17 06:04:34.539079
244,nikon coolpix 3500,2025-03-17 05:55:31.200898
326,scrollball,2025-03-17 06:05:36.038734
327,3300B,2025-03-17 06:05:46.743276
349,ram slot,2025-03-17 06:18:03.602029
389,Game Boy,2025-03-17 06:41:58.347508
307,screen,2025-03-17 06:05:03.104819
352,ballpen,2025-03-17 06:18:49.546439
353,bamboo fun,2025-03-17 06:18:49.546439
354,graphic tablet,2025-03-17 06:18:49.546439
355,pen,2025-03-17 06:18:49.546439
356,pencil,2025-03-17 06:18:49.546439
357,wacom pencil,2025-03-17 06:18:49.546439
370,Odyssey,2025-03-17 06:25:21.566588
371,Rear Window,2025-03-17 06:25:21.566588
372,Rear window actuator,2025-03-17 06:25:21.566588
649,death,2025-03-17 08:43:52.055474
223,A1302,2025-03-17 05:49:54.562682
225,Apple Time Capsule,2025-03-17 05:49:54.562682
541,toy,2025-03-17 07:44:41.304659
379,E62,2025-03-17 06:32:13.540822
142,Removal,2025-03-17 05:22:00.687415
388,batteries,2025-03-17 06:41:58.347508
23,battery,2025-03-17 03:51:28.969733
368,Honda,2025-03-17 06:25:21.566588
281,thinkpad,2025-03-17 06:04:18.364043
421,Rear Casing,2025-03-17 07:08:55.045589
131,dell,2025-03-17 05:16:39.437201
132,inspiron,2025-03-17 05:16:39.437201
340,ibm,2025-03-17 06:12:34.666863
118,heat,2025-03-17 05:12:27.087677
10,software fix,2025-03-17 02:55:49.279093
333,acer,2025-03-17 06:11:19.613582
298,modem,2025-03-17 06:04:43.050565
123,vga,2025-03-17 05:12:27.087677
211,2210,2025-03-17 05:49:17.631826
212,iMac,2025-03-17 05:49:17.631826
216,test,2025-03-17 05:49:17.631826
1,Hard Drive,2025-03-17 02:36:04.640617
259,Inspirion,2025-03-17 05:58:15.090779
233,top cover,2025-03-17 05:50:48.303444
96,Motorola,2025-03-17 04:55:40.428097
336,dvd drive,2025-03-17 06:11:19.613582
166,fan,2025-03-17 05:30:52.172095
2,hdd,2025-03-17 02:36:04.640617
375,case,2025-03-17 06:30:10.321098
218,voltage,2025-03-17 05:49:17.631826
325,mouse,2025-03-17 06:05:36.038734
158,wifi card,2025-03-17 05:27:28.099674
124,video,2025-03-17 05:12:27.087677
243,lcd screen,2025-03-17 05:55:31.200898
4663,ford,2025-03-18 00:11:22.639718
650,GLOD,2025-03-17 08:43:52.055474
652,light,2025-03-17 08:43:52.055474
775,Minolta X-370,2025-03-17 09:26:17.198309
4664,Ford Lighting,2025-03-18 00:11:22.639718
656,5.1,2025-03-17 08:44:17.830214
657,audio + usb board,2025-03-17 08:44:17.830214
658,FireWave,2025-03-17 08:44:17.830214
659,firewire 400,2025-03-17 08:44:17.830214
